"","Claim Type","Property Name","Property Address","Incident Location","Incident DateTime","Reported By","Date Reported","Reported Phone","Created Date"
"","PropertyDamage","ARIUM MAITLAND SUMMIT","9000 SUMMIT CENTRE WAY,ORLANDO,FL","test","8/3/2018","sekhar","8/17/2018","232-323-2322","8/18/2018"
"","PropertyDamage","ARIUM MAITLAND SUMMIT","9000 SUMMIT CENTRE WAY,ORLANDO,FL","test","8/3/2018","sekhar","8/17/2018","232-323-2322","8/18/2018"
"","PropertyDamage","ARIUM MAITLAND SUMMIT","9000 SUMMIT CENTRE WAY,ORLANDO,FL","test","8/3/2018","sekhar","8/17/2018","232-323-2322","8/18/2018"
"","PropertyDamage","ARIUM MAITLAND SUMMIT","9000 SUMMIT CENTRE WAY,ORLANDO,FL","test","8/3/2018","sekhar","8/17/2018","232-323-2322","8/18/2018"
"","PropertyDamage","ARIUM MAITLAND SUMMIT","9000 SUMMIT CENTRE WAY,ORLANDO,FL","test","8/3/2018","sekhar","8/17/2018","232-323-2322","8/18/2018"
"","PropertyDamage","ARIUM MAITLAND SUMMIT","9000 SUMMIT CENTRE WAY,ORLANDO,FL","test","8/3/2018","sekhar","8/17/2018","232-323-2322","8/18/2018"
"","PropertyDamage","ARIUM MAITLAND SUMMIT","9000 SUMMIT CENTRE WAY,ORLANDO,FL","test","8/3/2018","sekhar","8/17/2018","232-323-2322","8/18/2018"
"","Mold Damage","CANTERBURY APARTMENTS","4636 CANTERBURY DRIVE,MYRTLE BEACH,SC","Demonti col9ony","8/10/2018","yah","8/4/2018","222-323-2232","8/20/2018"
"","Mold Damage","CANTERBURY APARTMENTS","4636 CANTERBURY DRIVE,MYRTLE BEACH,SC","3560 Piedmont Road NE Apt 410 Atlanta, GA 30305","8/10/2018","sekhar","8/17/2018","232-232-3232","8/18/2018"
"","PropertyDamage","CANTERBURY APARTMENTS","4636 CANTERBURY DRIVE,MYRTLE BEACH,SC","test","8/15/2018","test","8/15/2018","","8/15/2018"
"","General Liability","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","3558 Piedmont Road, NE","7/13/2018","asfdasdf","8/17/2018","","8/20/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/16/2018","test","8/24/2018","292-929-2999","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/1/2018","test","8/2/2018","111-111-1111","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","test","8/1/2018","test","8/2/2018","111-111-1111","8/17/2018"
"","PropertyDamage","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","EREW","8/17/2018","SADASD","8/2/2018","","8/17/2018"
"","General Liability","SHARON CROSSING","2123 EL VERANO CIRCLE,CHARLOTTE,NC","property","8/15/2018","TEST","8/15/2018","","8/15/2018"
"","General Liability","THE MANOR AT BUCKHEAD","3558 PIEDMONT ROAD NE ,ATLANTA,GA","3560 Piedmont Road NE Apt 410 Atlanta, GA 30305","8/3/2018","Kristin Turner","8/11/2018","404-266-8093","8/18/2018"
"","General Liability","THE MANOR AT BUCKHEAD","3558 PIEDMONT ROAD NE ,ATLANTA,GA","3560 Piedmont Road NE Apt 410 Atlanta, GA 30305","8/3/2018","Kristin Turner","8/11/2018","404-266-8093","8/18/2018"
"","General Liability","THE MANOR AT BUCKHEAD","3558 PIEDMONT ROAD NE ,ATLANTA,GA","3560 Piedmont Road NE Apt 410 Atlanta, GA 30305","8/3/2018","Kristin Turner","8/11/2018","404-266-8093","8/18/2018"
"","General Liability","THE MANOR AT BUCKHEAD","3558 PIEDMONT ROAD NE ,ATLANTA,GA","3560 Piedmont Road NE Apt 410 Atlanta, GA 30305","8/3/2018","Kristin Turner","8/11/2018","404-266-8093","8/18/2018"
"","General Liability","THE MANOR AT BUCKHEAD","3558 PIEDMONT ROAD NE ,ATLANTA,GA","3560 Piedmont Road NE Apt 410 Atlanta, GA 30305","8/3/2018","Kristin Turner","8/11/2018","404-266-8093","8/18/2018"
"","General Liability","THE MANOR AT BUCKHEAD","3558 PIEDMONT ROAD NE ,ATLANTA,GA","3560 Piedmont Road NE Apt 410 Atlanta, GA 30305","8/3/2018","Kristin Turner","8/11/2018","404-266-8093","8/18/2018"
"","General Liability","THE MANOR AT BUCKHEAD","3558 PIEDMONT ROAD NE ,ATLANTA,GA","3560 Piedmont Road NE Apt 410 Atlanta, GA 30305","8/3/2018","Kristin Turner","8/11/2018","404-266-8093","8/18/2018"
"","General Liability","THE MANOR AT BUCKHEAD","3558 PIEDMONT ROAD NE ,ATLANTA,GA","3560 Piedmont Road NE Apt 410 Atlanta, GA 30305","8/3/2018","Kristin Turner","8/11/2018","404-266-8093","8/18/2018"
"","Mold Damage","WEST PARK VILLAGE","9902 BROMPTON DR,TAMPA,FL","TES","8/8/2018","ASDAS DA","8/15/2018","123-111-2312","8/17/2018"
"","General Liability","WEST PARK VILLAGE","9902 BROMPTON DR,TAMPA,FL","test","8/15/2018","test","8/15/2018","","8/15/2018"
